Tue Aug  6 11:29:31 2024    /home/kimiko/spotify_interface_data_pipeline/artifacts/profiling/data_utils_profile.prof

         21004 function calls (20897 primitive calls) in 2.821 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.003    0.001    2.827    0.565 connection.py:246(recv)
     11/1    0.000    0.000    2.821    2.821 {built-in method builtins.exec}
        1    0.004    0.004    2.821    2.821 <string>:1(<module>)
        1    0.000    0.000    2.817    2.817 data_utils.py:108(generate_user_data)
        1    0.000    0.000    2.816    2.816 pool.py:738(__exit__)
        1    0.000    0.000    2.809    2.809 pool.py:654(terminate)
      7/5    0.000    0.000    2.799    0.560 connection.py:429(_recv_bytes)
    14/10    0.000    0.000    2.798    0.280 connection.py:390(_recv)
    54/50    0.004    0.000    2.797    0.056 {built-in method posix.read}
        5    0.000    0.000    2.796    0.559 util.py:208(__call__)
        1    0.000    0.000    2.796    2.796 pool.py:680(_terminate_pool)
        1    0.000    0.000    2.796    2.796 pool.py:671(_help_stuff_finish)
        1    0.001    0.001    2.796    2.796 {method 'acquire' of '_multiprocessing.SemLock' objects}
      3/1    0.000    0.000    2.794    2.794 threading.py:1016(_bootstrap)
      3/1    0.000    0.000    2.794    2.794 threading.py:1056(_bootstrap_inner)
      3/1    0.000    0.000    2.794    2.794 threading.py:999(run)
        1    0.000    0.000    2.794    2.794 pool.py:573(_handle_results)
        1    0.000    0.000    2.793    2.793 pool.py:527(_handle_tasks)
        1    0.000    0.000    2.792    2.792 pool.py:369(starmap)
      117    0.000    0.000    2.756    0.024 pool.py:500(_wait_for_updates)
      237    0.001    0.000    2.755    0.012 connection.py:1122(wait)
      237    0.000    0.000    2.748    0.012 selectors.py:402(select)
      237    2.747    0.012    2.747    0.012 {method 'poll' of 'select.poll' objects}
        7    0.025    0.004    0.025    0.004 {built-in method _pickle.loads}
     17/4    0.000    0.000    0.015    0.004 <frozen importlib._bootstrap>:1349(_find_and_load)
     17/4    0.000    0.000    0.015    0.004 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     15/4    0.000    0.000    0.014    0.004 <frozen importlib._bootstrap>:911(_load_unlocked)
     10/4    0.000    0.000    0.014    0.004 <frozen importlib._bootstrap_external>:989(exec_module)
      117    0.000    0.000    0.014    0.000 pool.py:333(_maintain_pool)
       10    0.000    0.000    0.009    0.001 <frozen importlib._bootstrap_external>:1062(get_code)
     38/8    0.000    0.000    0.007    0.001 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.000    0.000    0.007    0.007 pool.py:1(<module>)
       20    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
        3    0.000    0.000    0.007    0.002 context.py:110(SimpleQueue)
        1    0.000    0.000    0.006    0.006 pool.py:345(_setup_queues)
       20    0.006    0.000    0.006    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.006    0.006 pool.py:305(_repopulate_pool)
        1    0.000    0.000    0.006    0.006 pool.py:314(_repopulate_pool_static)
        4    0.000    0.000    0.005    0.001 process.py:110(start)
        4    0.000    0.000    0.005    0.001 context.py:279(_Popen)
      822    0.001    0.000    0.005    0.000 selectors.py:351(register)
        3    0.000    0.000    0.004    0.001 queues.py:361(__init__)
        6    0.000    0.000    0.003    0.001 context.py:65(Lock)
      822    0.001    0.000    0.003    0.000 selectors.py:234(register)
        4    0.000    0.000    0.003    0.001 popen_fork.py:15(__init__)
        4    0.000    0.000    0.003    0.001 popen_fork.py:62(_launch)
      119    0.000    0.000    0.003    0.000 queues.py:374(empty)
      120    0.000    0.000    0.003    0.000 connection.py:253(poll)
        4    0.003    0.001    0.003    0.001 {built-in method posix.fork}
      120    0.000    0.000    0.003    0.000 connection.py:439(_poll)
    12/11    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.003    0.003 {built-in method builtins.__import__}
      117    0.000    0.000    0.002    0.000 pool.py:289(_join_exited_workers)
        1    0.000    0.000    0.002    0.002 util.py:1(<module>)
      472    0.000    0.000    0.002    0.000 process.py:224(exitcode)
       10    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
       17    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
       10    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.002    0.002 connection.py:1(<module>)
       17    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
       17    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
       48    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
      482    0.000    0.000    0.001    0.000 popen_fork.py:24(poll)
      822    0.000    0.000    0.001    0.000 selectors.py:215(_fileobj_lookup)
       54    0.001    0.000    0.001    0.000 {method 'write' of '_io.BytesIO' objects}
        1    0.000    0.000    0.001    0.001 queue.py:1(<module>)
        1    0.000    0.000    0.001    0.001 subprocess.py:1(<module>)
       46    0.001    0.000    0.001    0.000 {built-in method builtins.__build_class__}
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      822    0.001    0.000    0.001    0.000 selectors.py:21(_fileobj_to_fd)
      117    0.000    0.000    0.001    0.000 pool.py:284(_get_worker_sentinels)
      478    0.001    0.000    0.001    0.000 {built-in method posix.waitpid}
      237    0.000    0.000    0.001    0.000 selectors.py:347(__init__)
      822    0.000    0.000    0.001    0.000 <string>:1(<lambda>)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1287(create_module)
        5    0.001    0.000    0.001    0.000 {built-in method _imp.create_dynamic}
        6    0.000    0.000    0.001    0.000 synchronize.py:168(__init__)
        6    0.000    0.000    0.001    0.000 synchronize.py:50(__init__)
        3    0.000    0.000    0.001    0.000 threading.py:973(start)
        4    0.000    0.000    0.000    0.000 threading.py:637(wait)
      230    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      537    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(__enter__)
        3    0.000    0.000    0.000    0.000 threading.py:882(__init__)
      237    0.000    0.000    0.000    0.000 selectors.py:202(__exit__)
      936    0.000    0.000    0.000    0.000 process.py:247(sentinel)
        8    0.000    0.000    0.000    0.000 connection.py:202(send)
       73    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      846    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x761cd0fae940}
       13    0.000    0.000    0.000    0.000 reduction.py:48(dumps)
       20    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
       73    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      237    0.000    0.000    0.000    0.000 selectors.py:268(close)
        4    0.000    0.000    0.000    0.000 pool.py:179(Process)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.000    0.000    0.000    0.000 pool.py:506(_handle_workers)
      822    0.000    0.000    0.000    0.000 {method 'register' of 'select.poll' objects}
        5    0.000    0.000    0.000    0.000 queues.py:391(put)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      237    0.000    0.000    0.000    0.000 selectors.py:209(__init__)
        4    0.000    0.000    0.000    0.000 process.py:80(__init__)
      354    0.000    0.000    0.000    0.000 connection.py:169(fileno)
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:632(cached)
      932    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        3    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
       13    0.000    0.000    0.000    0.000 connection.py:406(_send_bytes)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
        1    0.000    0.000    0.000    0.000 synchronize.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tempfile.py:1(<module>)
     1416    0.000    0.000    0.000    0.000 process.py:99(_check_closed)
      237    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
       13    0.000    0.000    0.000    0.000 reduction.py:38(__init__)
        4    0.000    0.000    0.000    0.000 pool.py:809(_set)
        4    0.000    0.000    0.000    0.000 threading.py:323(wait)
        6    0.000    0.000    0.000    0.000 synchronize.py:121(_make_name)
       22    0.000    0.000    0.000    0.000 {built-in method builtins.next}
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
       20    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        5    0.000    0.000    0.000    0.000 util.py:189(__init__)
        6    0.000    0.000    0.000    0.000 tempfile.py:153(__next__)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.000    0.000 queues.py:1(<module>)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
        1    0.000    0.000    0.000    0.000 pool.py:161(__delitem__)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
       10    0.000    0.000    0.000    0.000 {built-in method _imp.source_hash}
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      480    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
    26/19    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 context.py:115(Pool)
        4    0.000    0.000    0.000    0.000 threading.py:616(set)
      260    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       13    0.000    0.000    0.000    0.000 connection.py:381(_send)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
      494    0.000    0.000    0.000    0.000 connection.py:135(_check_closed)
      238    0.000    0.000    0.000    0.000 {built-in method time.monotonic}
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        1    0.000    0.000    0.000    0.000 pool.py:183(__init__)
       13    0.000    0.000    0.000    0.000 {method 'dump' of '_pickle.Pickler' objects}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1295(exec_module)
       13    0.000    0.000    0.000    0.000 {built-in method posix.write}
        1    0.000    0.000    0.000    0.000 pool.py:471(_map_async)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
        5    0.000    0.000    0.000    0.000 connection.py:182(send_bytes)
        4    0.000    0.000    0.000    0.000 util.py:436(_flush_std_streams)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
      292    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        5    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
        5    0.000    0.000    0.000    0.000 pool.py:385(_guarded_task_generation)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
       22    0.000    0.000    0.000    0.000 {built-in method posix.close}
        4    0.000    0.000    0.000    0.000 __init__.py:243(_releaseLock)
      237    0.000    0.000    0.000    0.000 {built-in method select.poll}
        5    0.000    0.000    0.000    0.000 pool.py:633(_get_tasks)
        4    0.000    0.000    0.000    0.000 threading.py:588(__init__)
      134    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        2    0.000    0.000    0.000    0.000 queues.py:385(get)
        4    0.000    0.000    0.000    0.000 threading.py:424(notify_all)
       59    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      163    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        6    0.000    0.000    0.000    0.000 util.py:174(register_after_fork)
        6    0.000    0.000    0.000    0.000 random.py:454(choices)
       21    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      255    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
       11    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
        4    0.000    0.000    0.000    0.000 process.py:61(_cleanup)
        1    0.000    0.000    0.000    0.000 subprocess.py:749(Popen)
        3    0.000    0.000    0.000    0.000 connection.py:533(Pipe)
        6    0.000    0.000    0.000    0.000 tempfile.py:142(rng)
        1    0.000    0.000    0.000    0.000 pool.py:767(get)
       28    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
        4    0.000    0.000    0.000    0.000 threading.py:394(notify)
        6    0.000    0.000    0.000    0.000 weakref.py:164(__setitem__)
        1    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
        4    0.000    0.000    0.000    0.000 threading.py:277(__init__)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        1    0.000    0.000    0.000    0.000 pool.py:764(wait)
       17    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 connection.py:208(recv_bytes)
      237    0.000    0.000    0.000    0.000 selectors.py:63(__init__)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
        1    0.000    0.000    0.000    0.000 pool.py:796(__init__)
        1    0.000    0.000    0.000    0.000 popen_fork.py:1(<module>)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
        8    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       11    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      105    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
        2    0.000    0.000    0.000    0.000 threading.py:1220(is_alive)
      119    0.000    0.000    0.000    0.000 selectors.py:275(_key_from_fd)
        1    0.000    0.000    0.000    0.000 contextlib.py:272(contextmanager)
        1    0.000    0.000    0.000    0.000 random.py:126(__init__)
       53    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
        4    0.000    0.000    0.000    0.000 util.py:466(close_fds)
       26    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
