Wed Aug  7 15:17:04 2024    /home/kimiko/spotify_interface_data_pipeline/artifacts/profiling/user_data_gen/data_utils/2024-08-07_15-16-52-data_utils_old_profile.prof

         11119220 function calls (11108896 primitive calls) in 12.154 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   12.154   12.154 {built-in method builtins.exec}
        1    0.006    0.006   12.154   12.154 <string>:1(<module>)
        1    0.335    0.335   12.147   12.147 data_utils_old.py:40(generate_user_data)
   134899    0.187    0.000    5.815    0.000 __init__.py:535(random_element)
   134899    2.586    0.000    5.628    0.000 __init__.py:412(random_elements)
   290000    0.433    0.000    5.291    0.000 {method 'sub' of 're.Pattern' objects}
    30000    0.025    0.000    4.126    0.000 generator.py:161(parse)
    49845    0.137    0.000    3.950    0.000 generator.py:177(__format_token)
    20000    0.031    0.000    3.753    0.000 decorators.py:26(wrapper)
    49845    0.072    0.000    3.728    0.000 generator.py:84(format)
    20000    0.057    0.000    3.593    0.000 __init__.py:281(user_name)
    29922    0.023    0.000    3.054    0.000 __init__.py:211(last_name)
   144899    0.817    0.000    3.051    0.000 distribution.py:57(choices_distribution)
    29923    0.023    0.000    2.229    0.000 __init__.py:208(first_name)
20000/10000    0.025    0.000    1.974    0.000 decorators.py:34(wrapper)
    10000    0.022    0.000    1.959    0.000 __init__.py:227(email)
    69845    1.814    0.000    1.932    0.000 random.py:454(choices)
    10000    0.025    0.000    1.904    0.000 __init__.py:613(ipv4)
    10000    0.357    0.000    1.519    0.000 __init__.py:508(_random_ipv4_address_from_subnets)
    10000    0.014    0.000    1.248    0.000 __init__.py:48(street_name)
    40000    0.117    0.000    1.184    0.000 __init__.py:607(numerify)
   264303    0.139    0.000    0.913    0.000 random.py:332(randint)
    10000    0.195    0.000    0.826    0.000 {built-in method builtins.all}
    10000    0.013    0.000    0.808    0.000 __init__.py:323(phone_number)
   274303    0.322    0.000    0.804    0.000 random.py:291(randrange)
   154303    0.130    0.000    0.759    0.000 __init__.py:626(<lambda>)
  1410000    0.409    0.000    0.630    0.000 __init__.py:531(<genexpr>)
   154303    0.112    0.000    0.629    0.000 __init__.py:320(random_digit)
   379357    0.325    0.000    0.517    0.000 random.py:242(_randbelow_with_getrandbits)
   330000    0.517    0.000    0.517    0.000 proxy.py:107(__getattribute__)
   110000    0.146    0.000    0.398    0.000 proxy.py:122(__getattr__)
    10000    0.014    0.000    0.376    0.000 __init__.py:35(building_number)
    10000    0.039    0.000    0.360    0.000 __init__.py:406(_get_all_networks_and_weights)
    10000    0.069    0.000    0.339    0.000 __init__.py:665(mac_address)
  1827584    0.322    0.000    0.322    0.000 {built-in method builtins.isinstance}
   105054    0.108    0.000    0.298    0.000 random.py:341(choice)
    20000    0.031    0.000    0.282    0.000 __init__.py:644(bothify)
    10322    0.051    0.000    0.274    0.000 ipaddress.py:1502(__init__)
    10000    0.044    0.000    0.268    0.000 __init__.py:657(ipv6)
    20000    0.051    0.000    0.225    0.000 uuid.py:723(uuid4)
    21714    0.027    0.000    0.207    0.000 ipaddress.py:609(__str__)
    20995    0.030    0.000    0.182    0.000 ipaddress.py:1286(__init__)
    10000    0.015    0.000    0.160    0.000 ipaddress.py:1960(__str__)
   709894    0.152    0.000    0.152    0.000 {built-in method builtins.len}
    81559    0.119    0.000    0.147    0.000 {method 'join' of 'str' objects}
    10014    0.025    0.000    0.141    0.000 ipaddress.py:1187(_ip_int_from_string)
    20000    0.104    0.000    0.134    0.000 uuid.py:139(__init__)
    10000    0.104    0.000    0.131    0.000 ipaddress.py:1829(_string_from_ip_int)
